id,Ward,Jeff Wright,Brittany Kinser,Jill Underly,write-in:
14077,C. Oak Creek Ward 16 ,17,37,35,0
14080,C. Oak Creek Ward 17 ,31,68,43,1
14083,C. Oak Creek Ward 18 ,16,34,39,0
14086,Village of River Hills Wards 1-2 ,41,64,59,0
14089,"C. St. Francis Wards 1,2,3,4 ",53,87,118,0
14092,"C. St. Francis Wards 5,6,7,8 ",59,54,104,0
14095,"C. St. Francis Wards 9,10,11,12 ",129,89,205,0
14098,"V. Shorewood Wards 1,2,3,4 ",206,87,452,1
14101,"V. Shorewood Wards 5,6,7,8 ",190,66,315,0
14104,"V. Shorewood Wards 9,10,11,12 ",196,57,342,0
14107,"C. So. Milw. Wards 1,2,3,4 ",95,128,188,0
14110,"C. So. Milw. Wards 5,6,7,8 ",82,99,133,0
14113,"C. So. Milw. Wards 9,10,11,12 ",94,135,163,0
14116,"C. So. Milw. Wards 13,14,15,16 ",84,132,138,2
14119,City of Wauwatosa Ward 1 ,82,49,132,0
14122,City of Wauwatosa Ward 2A ,67,56,126,2
14125,City of Wauwatosa Ward 2B ,3,7,11,0
14128,City of Wauwatosa Ward 3 ,48,30,72,0
14131,City of Wauwatosa Ward 4A ,40,23,57,0
14134,City of Wauwatosa Ward 4B ,34,24,54,0
14137,City of Wauwatosa Ward 5 ,113,74,154,0
14140,City of Wauwatosa Ward 6A ,32,20,75,0
14143,City of Wauwatosa Ward 6B ,62,35,99,0
14146,City of Wauwatosa Ward 7A ,82,97,117,2
16360,City of Wauwatosa Ward 7B ,21,22,36,0
14149,City of Wauwatosa Ward 8A ,21,22,23,0
16363,City of Wauwatosa Ward 8B ,26,41,66,0
14152,City of Wauwatosa Ward 9 ,51,72,86,0
14158,City of Wauwatosa Ward 10 ,88,57,130,0
14161,City of Wauwatosa Ward 11 ,86,66,122,1
14164,City of Wauwatosa Ward 12A ,0,0,0,0
14167,City of Wauwatosa Ward 12B ,77,66,123,1
14170,City of Wauwatosa Ward 13 ,71,32,149,0
14173,City of Wauwatosa Ward 14 ,85,42,128,0
14176,City of Wauwatosa Ward 15 ,73,52,124,1
14179,City of Wauwatosa Ward 16 ,72,61,90,3
14182,City of Wauwatosa Ward 17 ,73,74,114,0
14185,City of Wauwatosa Ward 18 ,67,75,81,2
14188,City of Wauwatosa Ward 19 ,55,56,54,0
14191,City of Wauwatosa Ward 20 ,54,47,79,1
14197,City of Wauwatosa Ward 21 ,30,50,57,0
14203,City of Wauwatosa Ward 22 ,62,51,162,0
14206,City of Wauwatosa Ward 23 ,48,57,99,0
14209,City of Wauwatosa Ward 24A ,67,47,73,1
14212,City of Wauwatosa Ward 24B ,6,6,8,0
14215,City of West Allis Ward 1 ,53,50,63,0
14218,City of West Allis Ward 2 ,22,20,34,1
14221,City of West Allis Ward 3 ,39,25,38,0
14224,City of West Allis Ward 4 ,49,64,70,0
14227,City of West Allis Ward 5 ,29,37,45,0
14230,City of West Allis Ward 6 ,28,26,49,0
14233,City of West Allis Ward 7 ,37,39,49,3
14236,City of West Allis Ward 8 ,41,58,66,2
14239,City of West Allis Ward 9 ,30,31,33,2
14242,City of West Allis Ward 10 ,13,38,29,1
14245,City of West Allis Ward 11 ,20,39,53,0
14248,City of West Allis Ward 12 ,25,33,38,1
14251,City of West Allis Ward 13 ,42,44,65,0
14254,City of West Allis Ward 14 ,46,89,83,1
14257,City of West Allis Ward 15 ,2,4,6,0
14260,City of West Allis Ward 16 ,27,32,57,0
14263,City of West Allis Ward 17 ,2,4,2,0
14266,City of West Allis Ward 18 ,77,114,150,4
14269,City of West Allis Ward 19 ,58,56,101,0
14272,City of West Allis Ward 20 ,23,45,28,0
14275,City of West Allis Ward 21 ,26,44,49,0
14278,City of West Allis Ward 22 ,0,0,0,0
14281,City of West Allis Ward 23 ,51,76,67,0
14284,City of West Allis Ward 24 ,28,30,47,0
14287,City of West Allis Ward 25 ,51,79,87,0
14290,City of West Allis Ward 26 ,49,47,96,1
14293,"V. West Milwaukee Wards 1,2,5 ",13,18,26,0
14296,"V. West Milwaukee Wards 3,4,6 ",13,28,30,0
14299,"V. Whitefish Bay Wards 1,2 ",62,73,145,1
14302,"V. Whitefish Bay Wards 3,4 ",79,77,157,0
14305,"V. Whitefish Bay Wards 5,6 ",87,81,138,0
14308,V. Whitefish Bay Ward 7 ,53,37,80,1
14311,"V. Whitefish Bay Wards 8,10 ",125,70,189,0
14314,"V. Whitefish Bay Wards 9,11 ",93,42,128,1
14317,V. Whitefish Bay Ward 12 ,49,42,81,1
